"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\utils\Socket.js", "JavaScript", 0, 34, 0, 0, 0, 4, 12, 50
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\utils\UI.js", "JavaScript", 0, 78, 0, 0, 0, 3, 17, 98
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\utils\collision.js", "JavaScript", 0, 94, 0, 0, 0, 0, 13, 107
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\vite.config.js", "JavaScript", 0, 18, 0, 0, 0, 2, 2, 22
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\package-lock.json", "JSON", 1747, 0, 0, 0, 0, 0, 1, 1748
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\package.json", "JSON", 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\server\back_end_logic\app_logic\user.js", "JavaScript", 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\server\back_end_logic\game_logic\arena.js", "JavaScript", 0, 111, 0, 0, 0, 31, 29, 171
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\server\back_end_logic\infrastructure\database.js", "JavaScript", 0, 184, 0, 0, 0, 11, 45, 240
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\server\config.js", "JavaScript", 0, 40, 0, 0, 0, 3, 6, 49
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\server\server.js", "JavaScript", 0, 356, 0, 0, 0, 72, 85, 513
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\server\views\layout.ejs", "HTML", 0, 0, 18, 0, 0, 14, 10, 42
"Total", "-", 3498, 6880, 34, 333, 3, 696, 862, 12306
